row_index,key,token_count
797,YARN-4132,27
798,YARN-4129,42
799,YARN-4125,45
800,YARN-4117,33
801,YARN-4108,54
802,YARN-4097,39
803,YARN-4094,88
804,YARN-4093,28
805,YARN-4091,66
806,YARN-4088,96
807,YARN-4080,135
808,YARN-4077,39
809,YARN-4075,17
810,YARN-4074,27
811,YARN-4070,34
812,YARN-4062,32
813,YARN-4061,18
814,YARN-4059,110
815,YARN-4056,50
816,YARN-4041,37
817,YARN-4039,215
818,YARN-4024,28
819,YARN-4023,10
820,YARN-4014,16
821,YARN-4012,24
822,YARN-4007,25
823,YARN-3998,53
824,YARN-3997,113
825,YARN-3983,108
826,YARN-3981,50
827,YARN-3980,24
828,YARN-3955,47
829,YARN-3970,21
830,YARN-3969,38
831,YARN-3964,53
832,YARN-3698,26
833,YARN-3935,53
834,YARN-3942,37
835,YARN-3929,52
836,YARN-3928,25
837,YARN-3927,35
838,YARN-3926,84
839,YARN-3923,93
840,YARN-3922,96
841,YARN-3920,45
842,YARN-3914,52
843,YARN-3904,47
844,YARN-3901,85
845,YARN-3895,12
846,YARN-3887,23
847,YARN-3870,152
848,YARN-3867,17
849,YARN-3866,35
850,YARN-3864,26
851,YARN-3863,33
852,YARN-3851,58
853,YARN-3822,13
854,YARN-3818,25
855,YARN-3817,56
856,YARN-3816,69
857,YARN-3815,78
858,YARN-3808,78
859,YARN-3807,130
860,YARN-3806,136
861,YARN-3773,55
862,YARN-3772,36
863,YARN-3739,21
864,YARN-3736,30
865,YARN-3719,35
866,YARN-3718,46
867,YARN-3692,72
868,YARN-3691,27
869,YARN-3684,55
870,YARN-3680,138
871,YARN-3623,51
872,YARN-3673,18
873,YARN-3672,24
874,YARN-3671,18
875,YARN-3666,45
876,YARN-3665,20
877,YARN-3664,21
878,YARN-3663,17
879,YARN-3662,36
880,YARN-3661,23
881,YARN-3660,38
882,YARN-3659,19
883,YARN-3656,65
884,YARN-3637,100
885,YARN-3636,163
886,YARN-3632,37
887,YARN-3622,24
888,YARN-3616,53
