issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-9003,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9000,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8993,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8964,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8982,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8962,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8761,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8981,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8978,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8967,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8965,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8953,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8913,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8890,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8903,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8895,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8889,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8887,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8886,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8884,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8882,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8881,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8880,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8863,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8862,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8851,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8850,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8849,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8848,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-8839,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
